"variable","bf_statistic","bf_p_value","bf_p_adj","bf_reject","eta_B_waba","eta_B_int","delta_eta_B","class_waba","class_iwaba","reclassified","pi_R","E_R_het_int","V_R_het"
"Probe_14729",6.22900558960256,1.20628218525098e-09,1.10407468613599e-08,TRUE,0.56434538111777,0.666817982198551,0.102472601080781,"Within","Equivocal",TRUE,0.416326322597833,0.4391327336375,0.130757806203892
"Probe_14730",3.78354812652616,2.20959403740562e-05,5.52298997219196e-05,TRUE,0.547416418636975,0.657428357084469,0.110011938447494,"Within","Equivocal",TRUE,0.43789305293186,0.298689477052448,0.0621651343011699
"Probe_14731",8.13786797584518,8.21454015920153e-13,2.1351158345834e-11,TRUE,0.649667604438862,0.717927237982086,0.0682596335432242,"Equivocal","Equivocal",FALSE,0.313389037515939,0.439614346743113,0.111127487362519
"Probe_14732",6.32878944839305,8.15878364868183e-10,7.93788865831473e-09,TRUE,0.594910773464397,0.684400197394988,0.0894894239305914,"Within","Equivocal",TRUE,0.378303622159653,0.527845412005385,0.179102489623297
"Probe_14733",4.68666365789612,5.68572064763018e-07,2.23518675386401e-06,TRUE,0.562078602033386,0.665546306053421,0.103467704020035,"Within","Equivocal",TRUE,0.419193846805093,0.356232823619714,0.0863710008576423
"Probe_14734",4.11818953435478,5.69135852934721e-06,1.67344484819521e-05,TRUE,0.588261387118699,0.680506337274039,0.0922449501553393,"Within","Equivocal",TRUE,0.386470901399914,0.270591403480381,0.0476400930563555
"Probe_14735",3.62871329055458,4.1331599228478e-05,9.56641899721962e-05,TRUE,0.469474539056233,0.617420728781396,0.147946189725162,"Within","Equivocal",TRUE,0.541079118018325,0.24657634834787,0.0471598229748802
"Probe_14736",12.2999249824279,0,0,TRUE,0.697784914676822,0.749561693314125,0.0517767786373033,"Equivocal","Equivocal",FALSE,0.259952499691439,0.474647401105492,0.11501170973036
"Probe_14737",3.14250841300716,0.000291369628167337,0.000537653111688907,TRUE,0.51979503045421,0.642642609796449,0.122847579342239,"Within","Equivocal",TRUE,0.473789642001673,0.31201677151792,0.0706917257320614
"Probe_14738",5.78945265489801,6.83274814505808e-09,4.93056754061401e-08,TRUE,0.624193435414294,0.702004719852137,0.077811284437843,"Equivocal","Equivocal",FALSE,0.343059007410266,0.337675441871256,0.0692471816716237
"Probe_14739",2.42470999340481,0.00479283826962329,0.00665187783754536,TRUE,0.606496186410925,0.691276204161161,0.0847800177502357,"Within","Equivocal",TRUE,0.36421696772021,0.357558397558196,0.0804125149203109
"Probe_14740",3.52904897262644,6.18004006990303e-05,0.000136453585763371,TRUE,0.585771963806621,0.679058400120284,0.0932864363136634,"Within","Equivocal",TRUE,0.389543810754907,0.281096207582813,0.0516405945590898
"Probe_14741",5.04278141127788,1.35130331591071e-07,6.41429821615655e-07,TRUE,0.496948675435146,0.630915754355665,0.133967078920519,"Within","Equivocal",TRUE,0.504072536930056,0.424187573595827,0.134814351468309
"Probe_14742",2.92618456172832,0.000687131654288908,0.00115261025092343,TRUE,0.647874721624876,0.71678802800648,0.0689133063816042,"Equivocal","Equivocal",FALSE,0.315446376694572,0.212839457144358,0.026153313280743
"Probe_14743",1.97459340658974,0.0249991493187625,0.0301676309448788,TRUE,0.429839277712414,0.599133954782384,0.16929467706997,"Within","Within",FALSE,0.595271370119206,0.199327278522835,0.0322269369432792
"Probe_14744",10.9255505548111,0,0,TRUE,0.766807571947579,0.798588985754859,0.0317814138072808,"Equivocal","Between",TRUE,0.189342130333034,0.435591427248014,0.0777791835497696
"Probe_14745",3.69836215698451,3.11899191185461e-05,7.46318591987495e-05,TRUE,0.569751005884544,0.669868542510439,0.100117536625895,"Within","Equivocal",TRUE,0.409514016437419,0.2934240913142,0.0578553075030735
"Probe_14746",6.7261904411422,1.73679071124866e-10,2.1231407301969e-09,TRUE,0.581918228674978,0.676827524133142,0.0949092954581642,"Within","Equivocal",TRUE,0.39431698239257,0.386830760689697,0.098466454930221
"Probe_14747",6.16934787832203,1.52471857362002e-09,1.33906803980636e-08,TRUE,0.646764488738894,0.716083991952563,0.0693195032136689,"Equivocal","Equivocal",FALSE,0.316722732126965,0.368817920551333,0.0787264949388348
"Probe_14748",3.32866623775834,0.000138385042043998,0.000279221069005494,TRUE,0.501304779309423,0.633116450376198,0.131811671066774,"Within","Equivocal",TRUE,0.498261053524506,0.505817917636685,0.190587111420746
"Probe_14749",4.67223295720571,6.02741357380587e-07,2.34654251662733e-06,TRUE,0.662176845851618,0.72595429910169,0.0637774532500721,"Equivocal","Equivocal",FALSE,0.299166160528511,0.378240751631437,0.079928987657375
"Probe_14750",5.46578195673135,2.47798701558111e-08,1.49638742222855e-07,TRUE,0.622098449463395,0.700720467435452,0.0786220179720571,"Equivocal","Equivocal",FALSE,0.345540609018585,0.395196745205787,0.0952540910461816
"Probe_14751",9.20859812270354,1.64313007644523e-14,7.09505333815585e-13,TRUE,0.6955089068367,0.748018938798292,0.0525100319615921,"Equivocal","Equivocal",FALSE,0.262402272623026,0.403397431569156,0.0835876204998924
"Probe_14752",4.63743056692267,6.93860272793501e-07,2.65305345438753e-06,TRUE,0.605652298682798,0.690771418287486,0.085119119604688,"Within","Equivocal",TRUE,0.365236819391822,0.334838088612958,0.070632009658153
"Probe_14753",4.36981281622686,2.05130363617467e-06,6.90054247285315e-06,TRUE,0.663109792524609,0.726558482465355,0.0634486899407457,"Equivocal","Equivocal",FALSE,0.298114664218913,0.299077033408387,0.0498627781895868
"Probe_14754",6.79401056365368,1.33603239582669e-10,1.68981798221765e-09,TRUE,0.64248632604453,0.713381166504114,0.0708948404595836,"Equivocal","Equivocal",FALSE,0.321657867947004,0.468002016107149,0.127964912368789
"Probe_14755",3.88881154272787,1.44258131921093e-05,3.78816147302358e-05,TRUE,0.590856112458827,0.682021239571672,0.0911651271128442,"Within","Equivocal",TRUE,0.38327680129429,0.341546407878488,0.07554529970177
"Probe_14756",2.61857834334225,0.00228370145763646,0.00339721212391317,TRUE,0.668210362787836,0.729875230772498,0.0616648679846622,"Equivocal","Equivocal",FALSE,0.292388766596351,0.235461945457649,0.0305320611897435
"Probe_14757",2.40758037129067,0.00511361599492544,0.00705658204770664,TRUE,0.664996945468104,0.727782964502316,0.0627860190342125,"Equivocal","Equivocal",FALSE,0.295991651389514,0.236339738264248,0.0309982191560891
"Probe_14758",7.8147867103065,2.74158473700936e-12,6.01613055062587e-11,TRUE,0.610942888773221,0.69394629195656,0.0830034031833389,"Equivocal","Equivocal",FALSE,0.358859384952016,0.418212264630047,0.109065668998384
"Probe_14759",3.80180936005209,2.05211545865058e-05,5.16501576501164e-05,TRUE,0.588231214726165,0.680488755778002,0.0922575410518375,"Within","Equivocal",TRUE,0.386508096426801,0.329510520967069,0.0706491198812516
"Probe_14760",1.76877761859821,0.0508287723154643,0.0580286119192114,FALSE,0.611830756026009,0.694481482462029,0.08265072643602,"Equivocal","Equivocal",FALSE,0.357792942612866,0.192229922753537,0.0230029523046137
"Probe_14761",4.45793825394654,1.43519518758239e-06,5.06226181338076e-06,TRUE,0.632987348739881,0.707437231950539,0.0744498832106576,"Equivocal","Equivocal",FALSE,0.332710665915978,0.290450872514779,0.0503048967486086
"Probe_14762",1.93610970939469,0.028621187459472,0.0341714088123605,TRUE,0.460658961130186,0.613232102203688,0.152573141073502,"Within","Equivocal",TRUE,0.553065104095445,0.29194373446166,0.066805412333431
"Probe_14763",3.75386520316029,2.49168685241274e-05,6.13018316898544e-05,TRUE,0.664697804876949,0.727588657072706,0.0628908521957571,"Equivocal","Equivocal",FALSE,0.296327827186554,0.28856345445691,0.0462440110349024
"Probe_14764",2.92840787222181,0.000681132246326932,0.00114398026691233,TRUE,0.609005607867562,0.692780911576386,0.083775303708824,"Within","Equivocal",TRUE,0.361190125533558,0.226295757746968,0.0320539789395162
"Probe_14765",3.16549666775032,0.000265848148965575,0.000495684134281373,TRUE,0.645805523093958,0.71547674937892,0.0696712262849611,"Equivocal","Equivocal",FALSE,0.31782663726996,0.257880413975938,0.0385707473196061
"Probe_14766",3.15753110933954,0.00027443052798426,0.000509674826108355,TRUE,0.584090578412682,0.678083485705469,0.0939929072927868,"Within","Equivocal",TRUE,0.391623938010896,0.285701146020275,0.0535061583253525
"Probe_14767",3.97873525424264,1.00192606705685e-05,2.74500058248919e-05,TRUE,0.598685385732462,0.686627659385065,0.087942273652603,"Within","Equivocal",TRUE,0.373693924035388,0.429851565956667,0.117946767393235
"Probe_14768",4.81137756516077,3.43490791920864e-07,1.44626280226077e-06,TRUE,0.6240104656875,0.701892404768604,0.0778819390811045,"Equivocal","Equivocal",FALSE,0.343275493982642,0.311539500275756,0.0589646675017838
"Probe_14769",2.63972888975193,0.0021045489400725,0.00315643040377074,TRUE,0.600734092552244,0.687841810556848,0.0871077180046037,"Within","Equivocal",TRUE,0.371200093856803,0.291172765914976,0.0539118161897016
"Probe_14770",1.22281957188164,0.265895650492884,0.274385316321932,FALSE,0.264809999174806,0.538654611627925,0.273844612453119,"Within","Within",FALSE,0.815502519512473,0.202127170690991,0.0377985649419163
"Probe_14771",3.34541595129673,0.000129388709571465,0.000262985048949316,TRUE,0.554628585244126,0.661398184329968,0.106769599085842,"Within","Equivocal",TRUE,0.428662766675255,0.318274601815422,0.0697836997771615
"Probe_14772",1.08813646247262,0.371696788586552,0.378592772689422,FALSE,0.389023535321307,0.581786756685858,0.192763221364551,"Within","Within",FALSE,0.651473567301665,0.203522543862768,0.0349751967388818
"Probe_14773",2.96789534080131,0.000582788998584105,0.000995251933261374,TRUE,0.489458263948507,0.627170572963095,0.137712309014588,"Within","Equivocal",TRUE,0.514103622950412,0.277257610695339,0.0581604258484504
"Probe_14774",3.73646764170174,2.67343109664475e-05,6.50656419778858e-05,TRUE,0.444914010816045,0.605923338808709,0.161009327992664,"Within","Within",FALSE,0.574577887470707,0.332208761452182,0.0880694872492167
"Probe_14775",4.13616310532811,5.29120137493511e-06,1.57102712912352e-05,TRUE,0.727107117231529,0.769855334104416,0.042748216872887,"Equivocal","Equivocal",FALSE,0.229086333554657,0.291584427188913,0.0398695349729307
"Probe_14776",3.22802711279479,0.000207092656648644,0.000397387330515729,TRUE,0.665245878818381,0.727944719925879,0.0626988411074976,"Equivocal","Equivocal",FALSE,0.295711999881281,0.251625906652503,0.035116889517592
"Probe_14777",1.74841313971416,0.0544157208314213,0.0618248496049739,FALSE,0.492769452646889,0.628820074936126,0.136050622289238,"Within","Equivocal",TRUE,0.509663511734681,0.239569651557728,0.0432377193390031
"Probe_14778",2.81694714601623,0.0010557036838873,0.00169594642207038,TRUE,0.450758886005299,0.60861066205356,0.157851776048261,"Within","Within",FALSE,0.566577816183485,0.315842325910106,0.0790860660245403
"Probe_14779",3.87040063343317,1.55431759922831e-05,4.04258477921054e-05,TRUE,0.55882484471866,0.66372871529343,0.10490387057477,"Within","Equivocal",TRUE,0.423321012702997,0.290120046984173,0.0575923606777193
"Probe_14780",11.2132488025133,0,0,TRUE,0.64565810203826,0.715383469922918,0.0697253678846582,"Equivocal","Equivocal",FALSE,0.317996458939992,0.539433444738656,0.168825829963285
"Probe_14781",2.6022153297614,0.00243245015837812,0.00359650652559165,TRUE,0.470373468243242,0.617851721295132,0.147478253051891,"Within","Equivocal",TRUE,0.539859622261543,0.265042058042,0.0544287069355985
"Probe_14782",3.40652589297357,0.000101220922938405,0.000211239662876394,TRUE,0.539357524032723,0.653045877877524,0.113688353844801,"Within","Equivocal",TRUE,0.448278922062829,0.186933417823627,0.0246534901140731
"Probe_14783",4.8050959162337,3.52315262519554e-07,1.47529720069124e-06,TRUE,0.4930941562265,0.628982348358379,0.135888192131879,"Within","Equivocal",TRUE,0.509228592258451,0.443273726109079,0.147965174387274
"Probe_14784",5.52037407663656,1.99277723211821e-08,1.23638395826631e-07,TRUE,0.563038946969705,0.666084521328712,0.103045574359006,"Within","Equivocal",TRUE,0.417978211323557,0.534440543130348,0.194094110843982
"Probe_14785",5.07832938446472,1.17121344178628e-07,5.68203005599909e-07,TRUE,0.71268443106312,0.759776202814119,0.047091771750999,"Equivocal","Equivocal",FALSE,0.244107340837217,0.38680244958529,0.0732514080665328
"Probe_14786",3.6566552497383,3.69186627360296e-05,8.65476473334565e-05,TRUE,0.586760568381451,0.679632764676152,0.0928721962947009,"Within","Equivocal",TRUE,0.388322505401132,0.37875847889763,0.0935920410557353
"Probe_14787",3.20744942412496,0.000224847478980772,0.000427203506439121,TRUE,0.560581015082316,0.664708594612703,0.104127579530387,"Within","Equivocal",TRUE,0.421091814938673,0.273940474429911,0.0512010159899195
