"scenario","K","n","p","rep","n_pairs","prop_corr_decrease","prop_corr_increase","prop_corr_equal","mean_signed_diff","mean_negative_diff"
"heteroscedastic",5,500,10,35,45,0.911111111111111,0.0888888888888889,0,-0.0206336000613294,-0.023020829202614
"heteroscedastic",5,500,10,36,45,0.977777777777778,0.0222222222222222,0,-0.0243345428119653,-0.025166008456345
"heteroscedastic",5,500,10,37,45,0.888888888888889,0.111111111111111,0,-0.0125983719341497,-0.0158777753659062
"heteroscedastic",5,500,10,38,45,0.955555555555556,0.0444444444444444,0,-0.0205685701739335,-0.0216650875125491
"heteroscedastic",5,500,10,39,45,0.933333333333333,0.0666666666666667,0,-0.027714687441895,-0.0297957008296084
"heteroscedastic",5,500,10,40,45,0.933333333333333,0.0666666666666667,0,-0.0290978603054651,-0.0312558230082306
"heteroscedastic",5,500,10,41,45,1,0,0,-0.0234414063031981,-0.0234414063031981
"heteroscedastic",5,500,10,42,45,0.955555555555556,0.0444444444444444,0,-0.0235245849214812,-0.024745257421371
"heteroscedastic",5,500,10,43,45,0.977777777777778,0.0222222222222222,0,-0.017675395387677,-0.0181086834444812
"heteroscedastic",5,500,10,44,45,0.911111111111111,0.0888888888888889,0,-0.0184204903352515,-0.020780982778795
"heteroscedastic",5,500,10,45,45,0.977777777777778,0.0222222222222222,0,-0.0313891252422117,-0.0321366572169509
"heteroscedastic",5,500,10,46,45,0.955555555555556,0.0444444444444444,0,-0.0239011664423745,-0.0252655409870877
"heteroscedastic",5,500,10,47,45,0.955555555555556,0.0444444444444444,0,-0.0306891194027762,-0.032172168421545
"heteroscedastic",5,500,10,48,45,0.977777777777778,0.0222222222222222,0,-0.0214655873493896,-0.0222586242746033
"heteroscedastic",5,500,10,49,45,0.866666666666667,0.133333333333333,0,-0.0235670453170244,-0.0275134365817034
"heteroscedastic",5,500,10,50,45,0.933333333333333,0.0666666666666667,0,-0.0219493049793111,-0.0237073096233142
"heteroscedastic",5,500,10,51,45,0.933333333333333,0.0666666666666667,0,-0.0197774700339911,-0.0215019817433851
"heteroscedastic",5,500,10,52,45,1,0,0,-0.0214745134167726,-0.0214745134167726
"heteroscedastic",5,500,10,53,45,0.977777777777778,0.0222222222222222,0,-0.0205464667047238,-0.0210734110282225
"heteroscedastic",5,500,10,54,45,1,0,0,-0.022742145348561,-0.022742145348561
"heteroscedastic",5,500,10,55,45,0.933333333333333,0.0666666666666667,0,-0.0250974738382869,-0.0270505519258025
"heteroscedastic",5,500,10,56,45,0.933333333333333,0.0666666666666667,0,-0.0194115796095366,-0.0217587059935332
"heteroscedastic",5,500,10,57,45,0.888888888888889,0.111111111111111,0,-0.0220283316389653,-0.0252837696610392
"heteroscedastic",5,500,10,58,45,0.977777777777778,0.0222222222222222,0,-0.0259462266178438,-0.0269977774739177
"heteroscedastic",5,500,10,59,45,0.933333333333333,0.0666666666666667,0,-0.0275752013422309,-0.0296803188872089
"heteroscedastic",5,500,10,60,45,0.955555555555556,0.0444444444444444,0,-0.031993919036147,-0.0335547966367375
"heteroscedastic",5,500,10,61,45,0.955555555555556,0.0444444444444444,0,-0.0207375858650927,-0.0217203882934061
"heteroscedastic",5,500,10,62,45,0.955555555555556,0.0444444444444444,0,-0.0290271407496216,-0.0305399097048966
"heteroscedastic",5,500,10,63,45,0.955555555555556,0.0444444444444444,0,-0.0198049395079133,-0.0208376540423917
"heteroscedastic",5,500,10,64,45,0.777777777777778,0.222222222222222,0,-0.0179973825377502,-0.0245908850826099
"heteroscedastic",5,500,10,65,45,0.977777777777778,0.0222222222222222,0,-0.0240703566963317,-0.0251141485650515
"heteroscedastic",5,500,10,66,45,1,0,0,-0.0153632995026512,-0.0153632995026512
"heteroscedastic",5,500,10,67,45,0.977777777777778,0.0222222222222222,0,-0.0290661073282175,-0.0297349037768491
"heteroscedastic",5,500,10,68,45,0.933333333333333,0.0666666666666667,0,-0.0245746050668404,-0.0267048679371743
"heteroscedastic",5,500,10,69,45,0.933333333333333,0.0666666666666667,0,-0.0204286909689128,-0.0220615151110798
"heteroscedastic",5,500,10,70,45,0.933333333333333,0.0666666666666667,0,-0.0207588168915807,-0.0225105284726228
